0,公式名,ファイル名,グループ名,どのフラグを建てるか
1,直線一般形,zukei/chokusen_generalForm.mml,直線,0
2,自然対数関数,zukei/naturalLogarithm.mml,対数関数,3
3,円形の標準形式,zukei/enkei_standardForm.mml,円形,1
4,指数関数,zukei/sisukansu.mml,指数関数,4
5,放物線の標準型,zukei/houbutsusen_ standardForm.mml,放物線,2
6,楕円,zukei/daen.mml,楕円,5
7,双曲線,zukei/soukyokusen.mml,双曲線,6
8,分子関数,zukei/bunsikansu.mml,分子関数,7
9,無理関数,zukei/murikansu.mml,無理関数,8
10,連立1次関数,zukei/renritsuitijikansu.mml,連立1次関数,9
11,三角関数,zukei/sankakukansu.mml,三角関数,10
12,リサージュ曲線,zukei/risajyu.mml,リサージュ曲線,11
13,アステロイド曲線,zukei/asuteroido.mml,アステロイド曲線,12
14,サイクロイド,zukei/saikuroido.mml,サイクロイド,13
15,アルキメデスの渦巻線,zukei/arukimedesu.mml,アルキメデスの渦巻線,14
16,正葉曲線,zukei/seibakyokusen.mml,正葉曲線,15
17,カージオイド,zukei/kajioido.mml,カージオイド,16
18,直線傾き切片形式,zukei/chokusen_slopeInterceptForm.mml,直線,17
19,直線傾き切逆型,zukei/chokusen_underslopeInterceptForm.mml,直線,18
20,直線y傾き切型,zukei/chokusen_y_slopeInterceptForm.mml,直線,19
21,直線x傾き切型,zukei/chokusen_x_slopeInterceptForm.mml,直線,20
22,円形の一般形式,zukei/enkei_generalForm.mml,円形,21
23,三次関数,zukei/cubicFunction.mml,三次関数,22
24,放物線の頂点形式,zukei/houbutsusen_vertexForm.mml,放物線,23
25,放物線の切片形式,zukei/houbutsusen_ vertexForm2.mml,放物線,24
26,放物線の標準型2,zukei/houbutsusen_standardForm2.mml,放物線,25
27,放物線の頂点形式2,zukei/houbutsusen_vertexForm3.mml,放物線,26
28,円形の中心半径形式,zukei/enkei_centerRadiusForm.mml,円形,27
29,常用対数関数,zukei/commonLogarithm.mml,対数関数,28
30,


